0-0,-1.37971,-8.605,30.003,0.54,-2.06176,-8.49095,29.3593
0-0,-2.06176,-8.49095,29.3593,0.55,-2.66822,-8.3816,28.7841
0-0,-2.66822,-8.3816,28.7841,0.56,-3.20706,-8.28317,28.2687
0-0,-3.20706,-8.28317,28.2687,0.57,-3.68595,-8.19981,27.8055
0-0,-3.68595,-8.19981,27.8055,0.58,-4.11218,-8.13418,27.3883
0-0,-4.11218,-8.13418,27.3883,0.59,-4.49252,-8.08778,27.0123
0-0,-4.49252,-8.08778,27.0123,0.6,-4.83321,-8.06128,26.6732
0-0,-4.83321,-8.06128,26.6732,0.61,-5.13993,-8.05474,26.368
0-0,-5.13993,-8.05474,26.368,0.62,-5.41779,-8.06776,26.0942
0-0,-5.41779,-8.06776,26.0942,0.63,-5.67136,-8.0996,25.85
0-0,-5.67136,-8.0996,25.85,0.64,-5.90471,-8.14928,25.6339
0-0,-5.90471,-8.14928,25.6339,0.65,-6.12139,-8.21562,25.4449
0-0,-6.12139,-8.21562,25.4449,0.66,-6.32452,-8.29732,25.2824
0-0,-6.32452,-8.29732,25.2824,0.67,-6.51677,-8.39293,25.1459
0-0,-6.51677,-8.39293,25.1459,0.68,-6.70045,-8.50092,25.0351
0-0,-6.70045,-8.50092,25.0351,0.69,-6.87745,-8.61967,24.9499
0-0,-6.87745,-8.61967,24.9499,0.7,-7.04936,-8.74749,24.8901
0-0,-7.04936,-8.74749,24.8901,0.71,-7.21744,-8.88257,24.8557
0-0,-7.21744,-8.88257,24.8557,0.72,-7.38266,-9.02308,24.8466
0-0,-7.38266,-9.02308,24.8466,0.73,-7.54571,-9.16706,24.8628
0-0,-7.54571,-9.16706,24.8628,0.74,-7.70704,-9.31251,24.904
0-0,-7.70704,-9.31251,24.904,0.75,-7.86684,-9.45733,24.9699
0-0,-7.86684,-9.45733,24.9699,0.76,-8.0251,-9.59939,25.06
0-0,-8.0251,-9.59939,25.06,0.77,-8.18159,-9.73648,25.1738
0-0,-8.18159,-9.73648,25.1738,0.78,-8.33591,-9.86637,25.3103
0-0,-8.33591,-9.86637,25.3103,0.79,-8.48746,-9.98683,25.4684
0-0,-8.48746,-9.98683,25.4684,0.8,-8.63551,-10.0956,25.6467
0-0,-8.63551,-10.0956,25.6467,0.81,-8.77917,-10.1906,25.8436
0-0,-8.77917,-10.1906,25.8436,0.82,-8.91745,-10.2698,26.057
0-0,-8.91745,-10.2698,26.057,0.83,-9.04926,-10.3312,26.2847
0-0,-9.04926,-10.3312,26.2847,0.84,-9.17344,-10.3731,26.524
0-0,-9.17344,-10.3731,26.524,0.85,-9.28879,-10.3941,26.7722
0-0,-9.28879,-10.3941,26.7722,0.86,-9.3941,-10.393,27.0261
0-0,-9.3941,-10.393,27.0261,0.87,-9.48817,-10.369,27.2823
0-0,-9.48817,-10.369,27.2823,0.88,-9.56989,-10.3217,27.5375
0-0,-9.56989,-10.3217,27.5375,0.89,-9.63821,-10.2512,27.788
0-0,-9.63821,-10.2512,27.788,0.9,-9.6922,-10.1578,28.0303
0-0,-9.6922,-10.1578,28.0303,0.91,-9.7311,-10.0425,28.2609
0-0,-9.7311,-10.0425,28.2609,0.92,-9.75432,-9.90667,28.4765
0-0,-9.75432,-9.90667,28.4765,0.93,-9.76148,-9.75207,28.6739
0-0,-9.76148,-9.75207,28.6739,0.94,-9.75242,-9.58085,28.8502
0-0,-9.75242,-9.58085,28.8502,0.95,-9.72723,-9.39549,29.0032
0-0,-9.72723,-9.39549,29.0032,0.96,-9.68622,-9.19872,29.1306
0-0,-9.68622,-9.19872,29.1306,0.97,-9.62996,-8.99348,29.2311
0-0,-9.62996,-8.99348,29.2311,0.98,-9.55923,-8.78276,29.3035
0-0,-9.55923,-8.78276,29.3035,0.99,-9.47503,-8.56962,29.3473
0-0,-9.47503,-8.56962,29.3473,1,-9.37857,-8.35704,29.3623
0-0,-9.37857,-8.35704,29.3623,1.01,-9.2712,-8.14787,29.349
0-0,-9.2712,-8.14787,29.349,1.02,-9.15442,-7.94479,29.3082
0-0,-9.15442,-7.94479,29.3082,1.03,-9.02982,-7.75023,29.241
0-0,-9.02982,-7.75023,29.241,1.04,-8.89906,-7.56634,29.1489
0-0,-8.89906,-7.56634,29.1489,1.05,-8.76384,-7.39499,29.0337
0-0,-8.76384,-7.39499,29.0337,1.06,-8.62586,-7.23773,28.8973
0-0,-8.62586,-7.23773,28.8973,1.07,-8.48677,-7.09581,28.7418
0-0,-8.48677,-7.09581,28.7418,1.08,-8.34819,-6.97017,28.5695
0-0,-8.34819,-6.97017,28.5695,1.09,-8.21166,-6.8615,28.3826
0-0,-8.21166,-6.8615,28.3826,1.1,-8.07862,-6.7702,28.1834
0-0,-8.07862,-6.7702,28.1834,1.11,-7.9504,-6.69649,27.9741
0-0,-7.9504,-6.69649,27.9741,1.12,-7.82822,-6.64036,27.757
0-0,-7.82822,-6.64036,27.757,1.13,-7.71317,-6.60165,27.5341
0-0,-7.71317,-6.60165,27.5341,1.14,-7.60622,-6.58007,27.3076
0-0,-7.60622,-6.58007,27.3076,1.15,-7.5082,-6.57523,27.0793
0-0,-7.5082,-6.57523,27.0793,1.16,-7.41984,-6.58665,26.8513
0-0,-7.41984,-6.58665,26.8513,1.17,-7.34175,-6.61377,26.6253
0-0,-7.34175,-6.61377,26.6253,1.18,-7.2744,-6.65603,26.403
0-0,-7.2744,-6.65603,26.403,1.19,-7.21818,-6.71279,26.186
0-0,-7.21818,-6.71279,26.186,1.2,-7.1734,-6.78342,25.976
0-0,-7.1734,-6.78342,25.976,1.21,-7.14024,-6.86728,25.7743
0-0,-7.14024,-6.86728,25.7743,1.22,-7.11883,-6.96369,25.5825
0-0,-7.11883,-6.96369,25.5825,1.23,-7.10922,-7.07197,25.4019
0-0,-7.10922,-7.07197,25.4019,1.24,-7.11136,-7.19143,25.2337
0-0,-7.11136,-7.19143,25.2337,1.25,-7.12519,-7.32134,25.0793
0-0,-7.12519,-7.32134,25.0793,1.26,-7.15053,-7.46096,24.9398
0-0,-7.15053,-7.46096,24.9398,1.27,-7.18719,-7.60949,24.8165
0-0,-7.18719,-7.60949,24.8165,1.28,-7.23489,-7.76608,24.7105
0-0,-7.23489,-7.76608,24.7105,1.29,-7.29331,-7.92984,24.6227
0-0,-7.29331,-7.92984,24.6227,1.3,-7.36206,-8.09977,24.5543
0-0,-7.36206,-8.09977,24.5543,1.31,-7.44069,-8.27482,24.5061
